longname,High School %,Undergrad %,Grad %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"Lee County School District, Florida, USA",0.9015904972421248,0.2784975727960411,0.10797384322693038,0.11227686095307247,0.10026303671714912,0.06595767512581843,0.018921405757751808,-0.0024395523873301794,-0.01261814615813002
"Seattle Public Schools, Washington, USA",0.9560103628276716,0.647245489402791,0.2812029143106381,0.3599529583112352,0.1979010708195914,0.08939146027196515,-0.0031755732073944776,0.02991588351150609,0.03102943075212994
"Austin Independent School District, Texas, USA",0.9078596613244184,0.5434351525419999,0.2055263768371404,0.24532034064597288,0.19884090928794454,0.09927390260808172,-0.00018814681835266356,0.026776066904330653,0.012414415690611857
"Shelby County School District, Tennessee, USA",0.8804193579424711,0.2788877813893484,0.11017310789115779,0.1089281121846722,0.10041858128257379,0.06954108792210248,0.027362924293572122,0.04803658144352285,0.023738202806484046
"Polk County School District, Florida, USA",0.8708558661098759,0.19884573520775378,0.06642857006218966,0.07823329003724543,0.07253848346363642,0.048073961706873274,0.02471072768366933,0.008937582034856839,-0.0036942529513117606
"Phoenix Union High School District, Arizona, USA",0.7623034309371336,0.22080347390310023,0.08239245774898278,0.09169217717718459,0.08165334394379115,0.04745795278212473,0.02391931331727437,0.021430697291216966,0.007620388334452485
"Metropolitan Nashville Public School District, Tennessee, USA",0.9046616023547339,0.4283099237192538,0.16040434851291713,0.17375203013593013,0.1622182248302845,0.09233966875303969,0.016902510619784983,0.02459466007133082,0.019515495073264527
"Denver County School District 1, Colorado, USA",0.9035371821454796,0.5083313416694694,0.1986395845414811,0.23325840291412686,0.17157312864599214,0.10349981010935008,0.007245953533321137,0.030466379648594777,0.02563059786372801
"DeKalb County School District, Georgia, USA",0.9055301323240331,0.43107929545151585,0.18214284529564456,0.18987427184899563,0.14201378138584994,0.09919124221667065,0.02511729666776885,0.03568891757499698,0.026557065951322262
"Cobb County School District, Georgia, USA",0.9340175318654862,0.4829195999080172,0.17815675971172737,0.2099012790843069,0.14382078698463835,0.1291975338390727,0.008062368342168558,0.004638748717644525,0.014011040769342925
"District of Columbia Public Schools, District of Columbia, USA",0.9240934088654649,0.5991839957453272,0.35049828178368975,0.3191074354917731,0.202386046844864,0.07769051340869025,0.0050345607513102575,-0.011200075019909939,-0.0009257395294604565
"Albuquerque Public Schools, New Mexico, USA",0.9072531803608624,0.35164396476315346,0.16067206741483828,0.17593507701727984,0.11957199188910671,0.056136895856767975,0.006229336809108421,0.026276132168325084,0.002246455688530019
"Boston School District, Massachusetts, USA",0.8848554968174812,0.508296006145142,0.23712129612330424,0.2576229007488865,0.15791618699473428,0.09275691840152107,-0.002031484811278128,0.01429042884340992,0.021884742707349136
"Northside Independent School District (Bexar County), Texas, USA",0.9164576671909839,0.3584991775803996,0.13572758317651049,0.17105582873586805,0.1050198532815309,0.08242349556299974,-0.0007776032595430138,0.013704356246338922,0.006678811886592501
"Kern High School District, California, USA",0.7705009321164097,0.1807724582884737,0.06231336266250411,0.08077735125228416,0.0650856029197595,0.03490950411642978,0.031814540150011617,0.029398867579043475,0.009364005988600321
"Detroit Public Schools Community District, Michigan, USA",0.8368478702172442,0.1520524443859064,0.062338138141091924,0.05968244994705072,0.06301269778008858,0.029357296658766217,0.033848839704469724,0.045590226568760855,0.02991722162403062
"Cypress-Fairbanks Independent School District, Texas, USA",0.8795350164164866,0.35061703733416477,0.10826137044045403,0.17105017398968111,0.08953635607845722,0.09003050726602632,0.018767192858734072,-0.006389423901869085,-0.0049644887342330385
"Fulton County School District, Georgia, USA",0.9440415720905916,0.5566047879002148,0.22472446932439455,0.24440253362940562,0.1567128020867339,0.15548945218407523,0.004128494776891478,-0.014968893123595728,-0.009929618609231389
"Brevard County School District, Florida, USA",0.9282142308545682,0.3028430134320979,0.116630540526702,0.1540296291239267,0.08988795207455043,0.05892543223361937,0.0008029928394552854,-0.0174274490907233,-0.01833717523685123
